,COD_DPTO_O,NDEP_PROCE,COD_EVE,NOM_EVE,SEMANA_01,SEMANA_02,SEMANA_03,SEMANA_04,SEMANA_05,SEMANA_06,SEMANA_07,SEMANA_08,SEMANA_09,SEMANA_10,SEMANA_11,SEMANA_12,SEMANA_13,SEMANA_14,SEMANA_15,SEMANA_16,Total general,lat,lon
0,00,DEPTO DESCONOCIDO,420.0,LEISHMANIASIS CUTANEA,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,,
1,0,DEPTO DESCONOCIDO,430.0,LEISHMANIASIS MUCOSA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
2,0,DEPTO DESCONOCIDO,465.0,MALARIA (TODAS LAS FORMAS),0,1,0,0,3,0,1,0,1,0,0,1,0,2,0,0,9,,
3,0,Total DEPTO DESCONOCIDO,,,1,2,0,0,3,0,1,0,1,0,0,4,0,3,0,0,15,,
4,05,ANTIOQUIA,100.0,ACCIDENTE OFIDICO,14,12,13,12,17,9,13,11,8,5,11,5,6,13,13,17,179,7.0000085,-75.5000086
5,0,ANTIOQUIA,110.0,BAJO PESO AL NACER,40,36,48,39,42,52,56,47,67,58,51,52,35,30,33,27,713,7.0000085,-75.5000086
6,0,ANTIOQUIA,113.0,DESNUTRICIÓN AGUDA EN MENORES DE 5 AÑOS,16,11,18,26,24,12,26,24,22,22,28,16,10,23,16,15,309,7.0000085,-75.5000086
7,0,ANTIOQUIA,210.0,DENGUE,22,32,23,20,30,30,24,26,31,35,34,15,23,30,22,5,402,7.0000085,-75.5000086
8,0,ANTIOQUIA,215.0,DEFECTOS CONGENITOS,24,21,22,26,32,26,20,28,41,30,13,18,0,0,0,0,301,7.0000085,-75.5000086
9,0,ANTIOQUIA,217.0,CHIKUNGUNYA,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,7.0000085,-75.5000086
10,0,ANTIOQUIA,220.0,DENGUE GRAVE,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,5,7.0000085,-75.5000086
11,0,ANTIOQUIA,298.0,EVENTO ADVERSO POSTERIOR A LA VACUNACION GRAVE,2,1,1,1,0,1,2,4,5,11,6,1,0,1,0,0,36,7.0000085,-75.5000086
12,0,ANTIOQUIA,300.0,AGRESIONES POR ANIMALES POTENCIALMENTE TRANSMISORES DE RABIA,211,238,251,239,250,259,252,270,272,272,258,265,265,229,206,164,3901,7.0000085,-75.5000086
13,0,ANTIOQUIA,330.0,HEPATITIS A,2,6,8,7,0,3,0,4,2,2,2,2,0,0,0,0,38,7.0000085,-75.5000086
14,0,ANTIOQUIA,340.0,"HEPATITIS B, C Y COINFECCIÓN HEPATITIS B Y DELTA",4,5,4,10,6,11,8,5,6,11,3,6,0,0,0,0,79,7.0000085,-75.5000086
15,0,ANTIOQUIA,345.0,ESI - IRAG (VIGILANCIA CENTINELA),14,24,16,10,14,8,9,11,10,11,9,12,6,9,10,14,187,7.0000085,-75.5000086
16,0,ANTIOQUIA,348.0,INFECCION RESPIRATORIA AGUDA GRAVE INUSITADA,4,3,2,0,2,1,1,2,3,3,5,3,5,0,1,0,35,7.0000085,-75.5000086
17,0,ANTIOQUIA,352.0,INFECCIONES DE SITIO QUIRÚRGICO ASOCIADAS A PROCEDIMIENTO MÉDICO QUIRÚRGICO,7,6,7,10,3,4,5,7,8,8,12,9,7,7,0,5,105,7.0000085,-75.5000086
